insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
OQ721237	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
MH507978	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
KJ501278	USA			USA			USA		
MG004538	USA	AZ		USA	Arizona		USA	AZ	
OQ721493	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507979	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MF175841	USA	Montgomery Co. TX		USA	Texas	Montgomery Co.	USA	Montgomery Co. TX	
MH507980	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MF175854	USA	Williamson Co. TX		USA	Texas	Williamson Co.	USA	Williamson Co. TX	
MH507981	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
OQ721280	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MF175852	USA	Dallas Co. TX		USA	Texas	Dallas Co.	USA	Dallas Co. TX	
OQ721572	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507697	USA	Carlsbad,California		USA	California	Carlsbad	USA	Carlsbad	California
MH507698	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH507699	USA	Santee,California		USA	California	Santee	USA	Santee	California
MF175877	USA	Denton Co. TX		USA	Texas	Denton Co.	USA	Denton Co. TX	
OQ721561	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507694	USA	Encinitas,California		USA	California	Encinitas	USA	Encinitas	California
OQ721205	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MF175858	USA	Collin Co. TX		USA	Texas	Collin Co.	USA	Collin Co. TX	
OQ721524	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
KJ501361	USA			USA			USA		
KJ501343	USA			USA			USA		
KJ501336	USA			USA			USA		
KJ501332	USA			USA			USA		
KJ501317	USA			USA			USA		
KX547169	USA	Oswego Co., NY		USA	New York	Oswego Co.	USA	Oswego Co.	NY
KX547286	USA	Chautauqua Co., NY		USA	New York	Chautauqua Co.	USA	Chautauqua Co.	NY
OQ721804	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507977	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
OQ721408	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MF175873	USA	Dallas Co. TX		USA	Texas	Dallas Co.	USA	Dallas Co. TX	
OQ721522	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
KJ501292	USA			USA			USA		
KJ501289	USA			USA			USA		
OQ721121	USA	Hillsborough, New Hampshire		USA	New Hampshire	Hillsborough	USA	Hillsborough	New Hampshire
OQ721856	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721217	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
OQ721318	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
OQ721748	USA	Rockingham, New Hampshire		USA	New Hampshire	Rockingham	USA	Rockingham	New Hampshire
KJ501288	USA			USA			USA		
OQ721342	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721780	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
KJ501283	USA			USA			USA		
OK631660	USA	Nassau County, NY		USA	New York	Nassau County	USA	Nassau County	NY
MF175865	USA	Montgomery Co. TX		USA	Texas	Montgomery Co.	USA	Montgomery Co. TX	
MF175831	USA	Denton Co. TX		USA	Texas	Denton Co.	USA	Denton Co. TX	
MF175875	USA	Collin Co. TX		USA	Texas	Collin Co.	USA	Collin Co. TX	
EF631122	USA	Illinois, Cook County		USA	Illinois	Cook County	USA	Illinois	Cook County IL
OQ721416	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MG004530	USA	AZ		USA	Arizona		USA	AZ	
OQ721695	USA	Pottawattamie, Iowa		USA	Iowa	Pottawattamie	USA	Pottawattamie	Iowa
OQ721850	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
MH507752	USA	Chico,California		USA	California	Chico	USA	Chico	California
MH507754	USA	Chico,California		USA	California	Chico	USA	Chico	California
OQ721360	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721373	USA	Pottawattamie, Iowa		USA	Iowa	Pottawattamie	USA	Pottawattamie	Iowa
